START 1430394914473
fragment results first_time total_time first_http total_http
http://localhost:3000/dbpedia2014-default 1 2496 2496 794 794
http://localhost:3000/dbpedia2014-default 2 2496 2565 794 810
http://localhost:3000/dbpedia2014-default 3 2496 2575 794 810
http://localhost:3000/dbpedia2014-default 4 2496 2576 794 810
http://localhost:3000/dbpedia2014-default 5 2496 2576 794 810
http://localhost:3000/dbpedia2014-default 6 2496 3424 794 1121
http://localhost:3000/dbpedia2014-default 7 2496 3471 794 1144
http://localhost:3000/dbpedia2014-default 8 2496 3502 794 1154
http://localhost:3000/dbpedia2014-default 9 2496 3526 794 1159
http://localhost:3000/dbpedia2014-default 10 2496 3668 794 1199
http://localhost:3000/dbpedia2014-default 11 2496 3700 794 1208
http://localhost:3000/dbpedia2014-default 12 2496 3794 794 1238
http://localhost:3000/dbpedia2014-default 13 2496 5212 794 1638
http://localhost:3000/dbpedia2014-default 14 2496 5212 794 1638
http://localhost:3000/dbpedia2014-default 15 2496 5212 794 1638
http://localhost:3000/dbpedia2014-default 16 2496 5481 794 1697
http://localhost:3000/dbpedia2014-default 17 2496 5718 794 1785
http://localhost:3000/dbpedia2014-default 18 2496 5724 794 1785
http://localhost:3000/dbpedia2014-default 19 2496 6142 794 1929
http://localhost:3000/dbpedia2014-default 20 2496 6308 794 1978
http://localhost:3000/dbpedia2014-default 21 2496 20002 794 6086
http://localhost:3000/dbpedia2014-default 22 2496 22206 794 6697
http://localhost:3000/dbpedia2014-default 23 2496 24365 794 7310
http://localhost:3000/dbpedia2014-default 24 2496 30434 794 9091
http://localhost:3000/dbpedia2014-default 25 2496 30434 794 9091
http://localhost:3000/dbpedia2014-default 26 2496 30434 794 9091
http://localhost:3000/dbpedia2014-default 27 2496 30478 794 9097
http://localhost:3000/dbpedia2014-default 28 2496 30524 794 9110
http://localhost:3000/dbpedia2014-default 29 2496 30546 794 9118
http://localhost:3000/dbpedia2014-default 30 2496 30626 794 9139
http://localhost:3000/dbpedia2014-default 31 2496 30671 794 9148
http://localhost:3000/dbpedia2014-default 32 2496 30938 794 9195
http://localhost:3000/dbpedia2014-default 33 2496 31164 794 9261
http://localhost:3000/dbpedia2014-default 34 2496 31424 794 9332
http://localhost:3000/dbpedia2014-default 35 2496 31582 794 9382
http://localhost:3000/dbpedia2014-default 36 2496 31677 794 9403
http://localhost:3000/dbpedia2014-default 37 2496 31710 794 9412
http://localhost:3000/dbpedia2014-default 38 2496 31721 794 9416
http://localhost:3000/dbpedia2014-default 39 2496 31875 794 9445
http://localhost:3000/dbpedia2014-default 40 2496 32298 794 9589
http://localhost:3000/dbpedia2014-default 41 2496 32490 794 9636
http://localhost:3000/dbpedia2014-default 42 2496 32513 794 9641
http://localhost:3000/dbpedia2014-default 43 2496 32540 794 9648
http://localhost:3000/dbpedia2014-default 44 2496 32542 794 9648
http://localhost:3000/dbpedia2014-default 45 2496 32543 794 9648
http://localhost:3000/dbpedia2014-default 46 2496 35009 794 10314
http://localhost:3000/dbpedia2014-default 47 2496 35027 794 10319
http://localhost:3000/dbpedia2014-default 48 2496 35069 794 10332
http://localhost:3000/dbpedia2014-default 49 2496 35087 794 10337
http://localhost:3000/dbpedia2014-default 50 2496 35103 794 10342
http://localhost:3000/dbpedia2014-default 51 2496 35189 794 10371
http://localhost:3000/dbpedia2014-default 52 2496 35265 794 10393
http://localhost:3000/dbpedia2014-default 53 2496 35494 794 10464
http://localhost:3000/dbpedia2014-default 54 2496 35693 794 10527
http://localhost:3000/dbpedia2014-default 55 2496 36012 794 10619
http://localhost:3000/dbpedia2014-default 56 2496 36146 794 10662
http://localhost:3000/dbpedia2014-default 57 2496 36281 794 10704
http://localhost:3000/dbpedia2014-default 58 2496 36338 794 10726
http://localhost:3000/dbpedia2014-default 59 2496 36355 794 10731
http://localhost:3000/dbpedia2014-default 60 2496 36581 794 10806
http://localhost:3000/dbpedia2014-default 61 2496 36701 794 10842
http://localhost:3000/dbpedia2014-default 62 2496 36768 794 10864
http://localhost:3000/dbpedia2014-default 63 2496 54868 794 16153
http://localhost:3000/dbpedia2014-default 64 2496 54868 794 16153
http://localhost:3000/dbpedia2014-default 65 2496 54868 794 16153
http://localhost:3000/dbpedia2014-default 66 2496 54869 794 16153
http://localhost:3000/dbpedia2014-default 67 2496 55042 794 16181
http://localhost:3000/dbpedia2014-default 68 2496 55187 794 16216
http://localhost:3000/dbpedia2014-default 69 2496 55309 794 16253
http://localhost:3000/dbpedia2014-default 70 2496 55390 794 16275
