START 1430403213615
fragment results first_time total_time first_http total_http
http://localhost:3000/dbpedia2014-default 1 3127 3127 780 780
http://localhost:3000/dbpedia2014-default 2 3127 3309 780 816
http://localhost:3000/dbpedia2014-default 3 3127 3310 780 816
http://localhost:3000/dbpedia2014-default 4 3127 3310 780 816
http://localhost:3000/dbpedia2014-default 5 3127 3311 780 816
http://localhost:3000/dbpedia2014-default 6 3127 4305 780 1118
http://localhost:3000/dbpedia2014-default 7 3127 4382 780 1137
http://localhost:3000/dbpedia2014-default 8 3127 4417 780 1151
http://localhost:3000/dbpedia2014-default 9 3127 4447 780 1156
http://localhost:3000/dbpedia2014-default 10 3127 4570 780 1196
http://localhost:3000/dbpedia2014-default 11 3127 4601 780 1205
http://localhost:3000/dbpedia2014-default 12 3127 4701 780 1235
http://localhost:3000/dbpedia2014-default 13 3127 6174 780 1635
http://localhost:3000/dbpedia2014-default 14 3127 6174 780 1635
http://localhost:3000/dbpedia2014-default 15 3127 6174 780 1635
http://localhost:3000/dbpedia2014-default 16 3127 6411 780 1702
http://localhost:3000/dbpedia2014-default 17 3127 6641 780 1782
http://localhost:3000/dbpedia2014-default 18 3127 6648 780 1782
http://localhost:3000/dbpedia2014-default 19 3127 7092 780 1926
http://localhost:3000/dbpedia2014-default 20 3127 7250 780 1975
http://localhost:3000/dbpedia2014-default 21 3127 20906 780 6071
http://localhost:3000/dbpedia2014-default 22 3127 23106 780 6682
http://localhost:3000/dbpedia2014-default 23 3127 25281 780 7295
http://localhost:3000/dbpedia2014-default 24 3127 31337 780 9140
http://localhost:3000/dbpedia2014-default 25 3127 31337 780 9140
http://localhost:3000/dbpedia2014-default 26 3127 31337 780 9140
http://localhost:3000/dbpedia2014-default 27 3127 31391 780 9147
http://localhost:3000/dbpedia2014-default 28 3127 31437 780 9160
http://localhost:3000/dbpedia2014-default 29 3127 31470 780 9164
http://localhost:3000/dbpedia2014-default 30 3127 31556 780 9189
http://localhost:3000/dbpedia2014-default 31 3127 31583 780 9194
http://localhost:3000/dbpedia2014-default 32 3127 31629 780 9199
http://localhost:3000/dbpedia2014-default 33 3127 31996 780 9301
http://localhost:3000/dbpedia2014-default 34 3127 32287 780 9372
http://localhost:3000/dbpedia2014-default 35 3127 32522 780 9430
http://localhost:3000/dbpedia2014-default 36 3127 32588 780 9451
http://localhost:3000/dbpedia2014-default 37 3127 32618 780 9460
http://localhost:3000/dbpedia2014-default 38 3127 32629 780 9464
http://localhost:3000/dbpedia2014-default 39 3127 32796 780 9493
http://localhost:3000/dbpedia2014-default 40 3127 33246 780 9637
http://localhost:3000/dbpedia2014-default 41 3127 33455 780 9684
http://localhost:3000/dbpedia2014-default 42 3127 33496 780 9689
http://localhost:3000/dbpedia2014-default 43 3127 33522 780 9696
http://localhost:3000/dbpedia2014-default 44 3127 33523 780 9696
http://localhost:3000/dbpedia2014-default 45 3127 33524 780 9696
http://localhost:3000/dbpedia2014-default 46 3127 35918 780 10362
http://localhost:3000/dbpedia2014-default 47 3127 35946 780 10367
http://localhost:3000/dbpedia2014-default 48 3127 35985 780 10380
http://localhost:3000/dbpedia2014-default 49 3127 36003 780 10385
http://localhost:3000/dbpedia2014-default 50 3127 36021 780 10390
http://localhost:3000/dbpedia2014-default 51 3127 36123 780 10419
http://localhost:3000/dbpedia2014-default 52 3127 36183 780 10441
http://localhost:3000/dbpedia2014-default 53 3127 36404 780 10512
http://localhost:3000/dbpedia2014-default 54 3127 36609 780 10575
http://localhost:3000/dbpedia2014-default 55 3127 36881 780 10667
http://localhost:3000/dbpedia2014-default 56 3127 37029 780 10710
http://localhost:3000/dbpedia2014-default 57 3127 37169 780 10752
http://localhost:3000/dbpedia2014-default 58 3127 37244 780 10774
http://localhost:3000/dbpedia2014-default 59 3127 37260 780 10779
http://localhost:3000/dbpedia2014-default 60 3127 37515 780 10854
http://localhost:3000/dbpedia2014-default 61 3127 37618 780 10890
http://localhost:3000/dbpedia2014-default 62 3127 37693 780 10912
http://localhost:3000/dbpedia2014-default 63 3127 55474 780 16201
http://localhost:3000/dbpedia2014-default 64 3127 55474 780 16201
http://localhost:3000/dbpedia2014-default 65 3127 55474 780 16201
http://localhost:3000/dbpedia2014-default 66 3127 55474 780 16201
http://localhost:3000/dbpedia2014-default 67 3127 55655 780 16229
http://localhost:3000/dbpedia2014-default 68 3127 55780 780 16264
http://localhost:3000/dbpedia2014-default 69 3127 55890 780 16301
http://localhost:3000/dbpedia2014-default 70 3127 55963 780 16323
http://localhost:3000/dbpedia2014-default 71 3127 56098 780 16359
