START 1430393669843
fragment results first_time total_time first_http total_http
http://localhost:3000/dbpedia2014 1 2684 2684 794 794
http://localhost:3000/dbpedia2014 2 2684 2756 794 810
http://localhost:3000/dbpedia2014 3 2684 2757 794 810
http://localhost:3000/dbpedia2014 4 2684 2757 794 810
http://localhost:3000/dbpedia2014 5 2684 2758 794 810
http://localhost:3000/dbpedia2014 6 2684 3700 794 1121
http://localhost:3000/dbpedia2014 7 2684 3749 794 1140
http://localhost:3000/dbpedia2014 8 2684 3784 794 1154
http://localhost:3000/dbpedia2014 9 2684 3811 794 1159
http://localhost:3000/dbpedia2014 10 2684 3952 794 1199
http://localhost:3000/dbpedia2014 11 2684 3983 794 1208
http://localhost:3000/dbpedia2014 12 2684 4089 794 1238
http://localhost:3000/dbpedia2014 13 2684 5542 794 1638
http://localhost:3000/dbpedia2014 14 2684 5542 794 1638
http://localhost:3000/dbpedia2014 15 2684 5542 794 1638
http://localhost:3000/dbpedia2014 16 2684 5737 794 1697
http://localhost:3000/dbpedia2014 17 2684 5969 794 1786
http://localhost:3000/dbpedia2014 18 2684 5986 794 1786
http://localhost:3000/dbpedia2014 19 2684 6428 794 1929
http://localhost:3000/dbpedia2014 20 2684 6586 794 1978
http://localhost:3000/dbpedia2014 21 2684 19822 794 6068
http://localhost:3000/dbpedia2014 22 2684 21956 794 6679
http://localhost:3000/dbpedia2014 23 2684 24069 794 7292
http://localhost:3000/dbpedia2014 24 2684 30180 794 9076
http://localhost:3000/dbpedia2014 25 2684 30180 794 9076
http://localhost:3000/dbpedia2014 26 2684 30180 794 9076
http://localhost:3000/dbpedia2014 27 2684 30223 794 9082
http://localhost:3000/dbpedia2014 28 2684 30266 794 9095
http://localhost:3000/dbpedia2014 29 2684 30293 794 9103
http://localhost:3000/dbpedia2014 30 2684 30380 794 9124
http://localhost:3000/dbpedia2014 31 2684 30414 794 9133
http://localhost:3000/dbpedia2014 32 2684 30701 794 9180
http://localhost:3000/dbpedia2014 33 2684 30915 794 9246
http://localhost:3000/dbpedia2014 34 2684 31166 794 9317
http://localhost:3000/dbpedia2014 35 2684 31341 794 9367
http://localhost:3000/dbpedia2014 36 2684 31410 794 9388
http://localhost:3000/dbpedia2014 37 2684 31440 794 9397
http://localhost:3000/dbpedia2014 38 2684 31455 794 9401
http://localhost:3000/dbpedia2014 39 2684 31615 794 9430
http://localhost:3000/dbpedia2014 40 2684 32119 794 9574
http://localhost:3000/dbpedia2014 41 2684 32303 794 9621
http://localhost:3000/dbpedia2014 42 2684 32320 794 9626
http://localhost:3000/dbpedia2014 43 2684 32344 794 9633
http://localhost:3000/dbpedia2014 44 2684 32345 794 9633
http://localhost:3000/dbpedia2014 45 2684 32345 794 9633
http://localhost:3000/dbpedia2014 46 2684 34848 794 10299
http://localhost:3000/dbpedia2014 47 2684 34867 794 10304
http://localhost:3000/dbpedia2014 48 2684 34921 794 10317
http://localhost:3000/dbpedia2014 49 2684 34937 794 10322
http://localhost:3000/dbpedia2014 50 2684 34952 794 10327
http://localhost:3000/dbpedia2014 51 2684 35046 794 10356
http://localhost:3000/dbpedia2014 52 2684 35120 794 10378
http://localhost:3000/dbpedia2014 53 2684 35354 794 10449
