START 1430402743097
fragment results first_time total_time first_http total_http
http://localhost:3000/dbpedia2014 1 3583 3583 780 780
http://localhost:3000/dbpedia2014 2 3583 3763 780 816
http://localhost:3000/dbpedia2014 3 3583 3764 780 816
http://localhost:3000/dbpedia2014 4 3583 3764 780 816
http://localhost:3000/dbpedia2014 5 3583 3765 780 816
http://localhost:3000/dbpedia2014 6 3583 5024 780 1123
http://localhost:3000/dbpedia2014 7 3583 5099 780 1142
http://localhost:3000/dbpedia2014 8 3583 5130 780 1150
http://localhost:3000/dbpedia2014 9 3583 5155 780 1155
http://localhost:3000/dbpedia2014 10 3583 5326 780 1195
http://localhost:3000/dbpedia2014 11 3583 5370 780 1204
http://localhost:3000/dbpedia2014 12 3583 5501 780 1235
http://localhost:3000/dbpedia2014 13 3583 7021 780 1635
http://localhost:3000/dbpedia2014 14 3583 7021 780 1635
http://localhost:3000/dbpedia2014 15 3583 7021 780 1635
http://localhost:3000/dbpedia2014 16 3583 7284 780 1702
http://localhost:3000/dbpedia2014 17 3583 7603 780 1782
http://localhost:3000/dbpedia2014 18 3583 7610 780 1782
http://localhost:3000/dbpedia2014 19 3583 8108 780 1926
http://localhost:3000/dbpedia2014 20 3583 8273 780 1975
http://localhost:3000/dbpedia2014 21 3583 28166 780 6087
http://localhost:3000/dbpedia2014 22 3583 30369 780 6698
http://localhost:3000/dbpedia2014 23 3583 32639 780 7311
http://localhost:3000/dbpedia2014 24 3583 39136 780 9161
http://localhost:3000/dbpedia2014 25 3583 39137 780 9161
http://localhost:3000/dbpedia2014 26 3583 39137 780 9161
http://localhost:3000/dbpedia2014 27 3583 39222 780 9168
http://localhost:3000/dbpedia2014 28 3583 39273 780 9181
http://localhost:3000/dbpedia2014 29 3583 39288 780 9185
http://localhost:3000/dbpedia2014 30 3583 39380 780 9210
http://localhost:3000/dbpedia2014 31 3583 39403 780 9215
http://localhost:3000/dbpedia2014 32 3583 39463 780 9220
